tranche_horaire;consommation;gaz cogénérations;hydraulique;éolien onshore;solaire;biomasse;annee
273;0.000159653;0.684558824;0.619201878;0.076515753;0.01266565;0.546;2018
274;0.000159796;0.680347594;0.661455399;0.072676728;0.086314061;0.528;2018
275;0.00015957;0.679411765;0.655023474;0.075324331;0.170048083;0.544;2018
276;0.000159093;0.680113636;0.611737089;0.0741991;0.223290724;0.5545;2018
277;0.0001585;0.679177807;0.593521127;0.064270585;0.244751964;0.5525;2018
278;0.000153819;0.676604278;0.548873239;0.063608684;0.223525273;0.5525;2018
279;0.000149295;0.677774064;0.491690141;0.058644427;0.176146359;0.5555;2018
280;0.000146982;0.67894385;0.479765258;0.057453005;0.101090653;0.561;2018
281;0.000147198;0.680815508;0.465164319;0.057519195;0.020992143;0.554;2018
282;0.000156994;0.68736631;0.554694836;0.058710617;-0.000234549;0.554;2018
283;0.000161554;0.690407754;0.603615023;0.062218692;-0.000117275;0.5525;2018
284;0.000156559;0.688536096;0.520375587;0.064138205;-0.000117275;0.5585;2018
285;0.000147548;0.678008021;0.430375587;0.06784485;-0.000234549;0.5565;2018
286;0.000141213;0.672627005;0.396150235;0.068043421;-0.000234549;0.5575;2018
287;0.000147846;0.668181818;0.449389671;0.074728621;-0.000234549;0.559;2018
288;0.000146065;0.661163102;0.422206573;0.085848557;-0.000234549;0.562;2018
289;0.000135655;0.657419786;0.367652582;0.091474715;-0.000234549;0.5665;2018
290;0.00013273;0.654612299;0.387511737;0.103653693;-0.000234549;0.5695;2018
291;0.000127788;0.651102941;0.338591549;0.118083135;-0.000234549;0.569;2018
292;0.000123241;0.646657754;0.323474178;0.137873974;-0.000234549;0.57;2018
293;0.00012228;0.649699198;0.325915493;0.162629071;-0.000234549;0.571;2018
294;0.000125354;0.653208556;0.34399061;0.165210485;-0.000234549;0.5705;2018
295;0.000130265;0.651102941;0.366384977;0.168189039;-0.000234549;0.564;2018
296;0.00013661;0.650868984;0.379014085;0.176198041;-0.000234549;0.5615;2018
297;0.000141899;0.654612299;0.447699531;0.194334128;0.020053946;0.5645;2018
298;0.000146223;0.655548128;0.504741784;0.205586444;0.107423478;0.5605;2018
299;0.000146334;0.655080214;0.487840376;0.220677787;0.178609124;0.5585;2018
300;0.000147411;0.653910428;0.454319249;0.246690495;0.219655213;0.566;2018
301;0.000150189;0.645721925;0.523896714;0.261980408;0.217896095;0.567;2018
302;0.000143001;0.645721925;0.464741784;0.251191422;0.207224112;0.565;2018
303;0.00013763;0.646423797;0.427089202;0.258009002;0.155857863;0.5645;2018
304;0.000134932;0.649465241;0.416338028;0.253574265;0.080567609;0.5705;2018
305;0.000134904;0.661397059;0.425446009;0.253706645;0.011844729;0.5655;2018
306;0.000145384;0.665374332;0.540985915;0.284882182;-0.000234549;0.561;2018
307;0.000151579;0.671457219;0.637323944;0.291633572;-0.000117275;0.5775;2018
308;0.000148509;0.67309492;0.5457277;0.286205984;-0.000117275;0.568;2018
309;0.000141657;0.663736631;0.482957746;0.280447445;-0.000234549;0.571;2018
310;0.000136564;0.663268717;0.429765258;0.264297061;-0.000234549;0.574;2018
311;0.000144122;0.663034759;0.448591549;0.257413291;-0.000234549;0.568;2018
312;0.000143358;0.663034759;0.435352113;0.24986762;-0.000234549;0.5755;2018
313;0.000134425;0.663502674;0.401126761;0.22286206;-0.000117275;0.574;2018
314;0.000131876;0.658823529;0.38741784;0.201482658;-0.000117275;0.5715;2018
315;0.000126385;0.64782754;0.343943662;0.192083664;-0.000234549;0.5645;2018
316;0.000120766;0.645254011;0.325539906;0.17599947;-0.000234549;0.569;2018
317;0.00011877;0.645721925;0.312065728;0.164217633;-0.000234549;0.57;2018
318;0.000120173;0.645955882;0.32600939;0.157135293;-0.000234549;0.565;2018
319;0.000122951;0.646423797;0.322957746;0.147405348;-0.000234549;0.564;2018
